嘼	xiu2
噈	cu3
㗲	xuo3
嘮	lau+
嘮	čau-
噘	gye3
嘟	du-
噢	y1
噤	gin2
噦	ye3
噦	xui2
器	ki2
噩	ŋo3
噪	sau2
噫	i-
噫	ai2
噬	š2
噱	gy3
噲	guai2
噴	pen-
噴	pen2
噠	da3
噡	žan-
噣	du3
噥	naŋ+
噥	nuŋ+
噭	giau2
噰	yŋ-
㗻	xo+
噧	xai2
噮	yan2
噞	ian2
噸	dun2
嘯	sau2
嚀	ŋiŋ+
嚃	ta3
嚅	ru+
嚇	xə3
嚇	xia2
嚂	lan2
嚄	xuo3
嚆	xau-
嚈	ie3
嚌	zi2
嚌	žai-
嚁	di3
嚍	zn2
㘈	i2
嚊	pi2
㘆	tai+
嚏	ti2
嚚	in+
嚕	lu1
嚗	bo3
嚜	mə3
㘉	z3
㘊	xi3
嚘	iu-
嚥	ian2
嚬	pin+
嚭	pi1
嚮	xiaŋ2
嚨	luŋ+
嚪	dan2
嚦	li3
嚳	ku3
嚴	ian+
嚴	ian2
嚶	iŋ-
嚱	xi2
嚲	do1
嚷	raŋ1
嚼	zo3
囀	žuan2
囁	že3
囁	ŋie3
囂	xiau-
囂	ŋau+
嚻	xiau-
嚾	xuan-
嚾	tuan2
㘖	ian+
囈	i2
囊	naŋ+
囉	lo+
囋	zan2
嚵	čan2
囅	čan1
囌	su-
囑	žu3
奲	čua1
囓	ŋie3
囔	naŋ-
囗	ui+
囚	su+
囚	cu+
四	s2
㘝	nan+
㘝	nan1
㘝	ŋie3
囝	gian1
囝	zai1
回	xui+
回	xui2
因	in-
囟	sn2
囡	nan+
囤	tun+
困	kun1
园	yan+
囧	gyŋ1
囪	cuŋ-
囮	ŋo+
囫	xu3
囷	gyn-
囷	gyn1
囹	liŋ+
固	gu2
囿	iu2
圂	xun2
圃	pu1
圃	pu2
圄	y1
㘣	syan+
圁	in+
